START_TARGETS
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,TARGET_DCID,PART_NUMBER,LABEL,TIME_DATA,UP_DELAY,DOWN_TIME,DOWN_DELAY,FOCUS_TIME,FOCUS_DELAY,COLOR_TIME,COLOR_DELAY,BEAM_TIME,BEAM_DELAY,DURATION,MARK,BLOCK,ASSERT,ALL_FADE,PREHEAT,FOLLOW,LINK,LOOP,CURVE,RATE,EXTERNAL_LINKS,EFFECTS,MODE,CUE_NOTES,SCENE_TEXT,SCENE_END
1,Cue,1,140.5,AC3EB1BB-2663-4795-9C43-29856D2EED3D,,,3,,,,,,,,,,3,,,,,,,,,,,,E2 ,,,,
1,Cue,1,141,0748CAE7-3A44-4A4C-8D8B-E49AD27DBB2B,,,0,,,,,,,,,,0,,b,,,,,,,,,,E2 ,,,,
1,Cue,1,141.5,B6A645CF-E72D-44B7-A34A-29EF1AF43449,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,Cue,1,142,92922E04-8BCA-47FE-9D76-1A2D093AAD58,,,3,,,,,,,,,,3,,b,,,,,,,,,,E2 3 ,,,,
1,Cue,1,142.1,F74289CF-9558-4A0A-92DC-CAC86621CC79,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,Cue,1,142.2,48F2E9D1-D575-47CD-8E2D-F470AF25005C,,,3,,,,,,,,,,3,,b,,,,,,,,,,,,,,
1,Cue,1,142.3,671A3E6F-87E7-4DBB-8FCD-1E5E914A0A35,,,0,,,,,,,,,,0,M,,,,,,,,,,,E4 ,,,,
1,Cue,1,143,D75FFB78-49AB-4127-BBE7-D29689F12955,,BUTTON,0,,,,,,,,,,0,M,b,,,,,,,,,,,,,,
1,Cue,1,144,F88E3410-13A9-4CD3-B909-AA66A64B5297,,,,,,,,,,,,,6,M,,,,,,,,,,,,,,Meet The Plastics,
1,Cue,1,144,F88E3410-13A9-4CD3-B909-AA66A64B5297,1,,3,,,,,,,,,,3,M,,,,,,,,,,,,,,,
1,Cue,1,144,F88E3410-13A9-4CD3-B909-AA66A64B5297,2,,3,3,,,,,,,,,6,,,,,,,,,,,,,,,,
1,Cue,1,145,1AE88022-A4CE-4D7A-BE2B-19E451DFA9D2,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
1,Cue,1,146,2D785E40-B6D2-4D2C-B814-B9837FFE3983,,,3,,,,,,,,,,3,M,,,,,,,,,,,,,,,
1,Cue,1,147,AE5AD7E4-F78B-4158-AF79-FF0F95CE3297,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,
1,Cue,1,147,AE5AD7E4-F78B-4158-AF79-FF0F95CE3297,1,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
1,Cue,1,147,AE5AD7E4-F78B-4158-AF79-FF0F95CE3297,2,,3,4,,,,,,,,,7,,,,,,,,,,,,,,,,
1,Cue,1,148,0765CA13-6EE9-4516-92B4-C5DEE1B18D2A,,,1,,,,,,,,,,1,M,,,,,,,,,,,,,,,
1,Cue,1,149,0581227E-E7A6-484E-A345-13E610F6BC01,,,1,,,,,,,,,,1,M,,,,,,,,,,,,,,,
1,Cue,1,150,5DF9B7EA-30CE-44F7-AC6A-BDEEB310488A,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
1,Cue,1,151,FCD0CAA0-0F60-496F-AC19-E7586A0D5AD1,,,1,,,,,,,,,,2,M,,,,,F3,,,,,,,,,,
1,Cue,1,152,4106F4E5-A790-42A2-8E88-82561CF0B494,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
1,Cue,1,153,74CE93F3-91F6-4467-9497-9363CB69C9DC,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
1,Cue,1,154,5EE79CF2-FC3A-4326-AF4B-B9D35FA21799,,,0,,,,,,,,,,0,M,,,,,,,,,,,,,,,
1,Cue,1,155,71311012-2BC6-4F40-9565-DD94AD564A2F,,,3,,,,,,,,,,3,M,,,,,,,,,,,,,,,
1,Cue,1,156,F3F00C91-4D1A-4460-B375-2F81621B9D1B,,,3,,,,,,,,,,3,M,,,,,,,,,,,,,,,
1,Cue,1,157,81868270-72C0-41C7-890D-5127B811DB5A,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
1,Cue,1,158,79494F9F-3EDC-4518-A7A1-BB88932FB709,,,0,,,,,,,,,,0,M,,,,,,,,,,,,,,,
1,Cue,1,159,A0B43794-3997-46A9-A767-AF944CB6A88F,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
1,Cue,1,160,76B2C47C-C1F0-402A-A1D3-7FE6FD6BCA03,,,3,,,,,,,,,,6,M,,,,,,,,,,,,,,,
1,Cue,1,161,661F0B85-5276-4DB2-B1AA-45079DA27A3F,,,3,,,,,,,,,,3,M,,,,,,,,,,,,,,,
1,Cue,1,162,10E84294-9210-4A8B-8653-49EC1E09B937,,,3,,,,,,,,,,3,M,b,,,,,,,,,,,,,,
1,Cue,1,163,7814521E-574C-4EC3-8D63-168EABC0A821,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
1,Cue,1,164,53758829-6898-46B5-BBA4-44E4633CC5C9,,,0,,,,,,,,,,0,M,,,,,,,,,,,,,,,
1,Cue,1,165,793BFE4D-D165-4FC8-9128-4E637A2AFE7D,,,3,,,,,,,,,,3,,b,,,,,,,,,,,,,,
1,Cue,1,166,5C6F682A-340C-4863-A4EB-FBAFE2ACC550,,,1,,,,,,,,,,2,M,,,,,,,,,,,,,,,
1,Cue,1,167,C5EB2DED-4E1E-4398-A853-BD443C050C35,,,3,,,,,,,,,,3,M,,,,,,,,,,,,,,,
1,Cue,1,168,78AA3864-ECCF-4243-8CCC-6E4F0CE67004,,,0,,,,,,,,,,0,M,,,,,,,,,,,,,,Stupid with love,
1,Cue,1,169,A00A5F90-8C85-4048-B386-3B7B0FE19147,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
1,Cue,1,170,DB2F7C39-0D68-4788-A967-37C5F036ECBD,,,3,,,,,,,,,,6,M,b,,,,,,,,,,,,,,
1,Cue,1,171,655577F3-1B52-4D1D-B185-5618130A2998,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
1,Cue,1,172,76818A38-6AC7-4F2E-B542-3F30D92CE40B,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,
1,Cue,1,172.5,59EDFE52-1039-4381-BC48-4149F24BB4D4,,,3,,,,,,,,,,3,,,,,,,,,,,,E3 ,,,,
1,Cue,1,173,D846B0B1-B6F2-4881-8B8E-E3103505FD3C,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,
1,Cue,1,173.5,0FBD5C3F-3D78-407B-937C-1EB297C4898F,,,3,,,,,,,,,,3,M,b,,,,,,,,,,,,,,
1,Cue,1,174,CA78D252-342C-470A-B79C-2917A725F3FB,,,3,,,,,,,,,,3,M,b,,,,,,,,,,,,,,
